t,R,T
0.000,8777.086,298.280
0.500,8776.705,298.280
1.000,8782.034,298.280
1.500,8783.938,298.279
2.000,8784.379,298.279
2.500,8789.708,298.279
3.000,8795.398,298.278
3.500,8792.514,298.278
4.000,8800.265,298.277
4.500,8803.202,298.277
5.000,8812.448,298.276
5.500,8814.092,298.276
6.000,8819.253,298.275
6.500,8820.073,298.275
7.000,8831.508,298.274
7.500,8837.953,298.273
8.000,8842.472,298.272
8.500,8845.123,298.272
9.000,8849.729,298.271
9.500,8850.792,298.271
10.000,8858.166,298.270
10.500,8864.162,298.269
11.000,8890.778,298.266
11.500,8902.866,298.265
12.000,8915.096,298.263
12.500,8917.493,298.263
13.000,8926.345,298.262
13.500,8931.531,298.261
14.000,8933.848,298.261
14.500,8932.044,298.261
15.000,8934.636,298.261
15.500,8939.571,298.260
16.000,8946.025,298.259
16.500,8944.242,298.260
17.000,8946.650,298.259
17.500,8942.995,298.260
18.000,8950.269,298.259
18.500,8950.620,298.259
19.000,8952.133,298.259
19.500,8956.357,298.258
20.000,8957.465,298.258
20.500,8959.910,298.258
21.000,8959.475,298.258
21.500,8959.849,298.258
22.000,8960.223,298.258
22.500,8962.795,298.257
23.000,8961.714,298.258
23.500,8962.299,298.257
24.000,8969.635,298.257
24.500,8970.126,298.257
25.000,8968.764,298.257
25.500,8967.243,298.257
26.000,8969.939,298.257
26.500,8972.008,298.256
27.000,8972.804,298.256
27.500,8974.943,298.256
28.000,8979.515,298.255
28.500,8984.332,298.255
29.000,8986.695,298.255
29.500,8987.938,298.254
30.000,9002.903,298.253
30.500,9008.052,298.252
31.000,9018.105,298.251
31.500,9018.895,298.251
32.000,9022.782,298.250
32.500,9035.116,298.249
33.000,9041.151,298.248
33.500,9042.334,298.248
34.000,9045.990,298.247
34.500,9047.146,298.247
35.000,9048.873,298.247
35.500,9047.958,298.247
36.000,9054.930,298.246
36.500,9063.988,298.245
37.000,9073.683,298.244
37.500,9076.930,298.244
38.000,9087.530,298.242
38.500,9094.446,298.242
39.000,9098.706,298.241
39.500,9104.519,298.240
40.000,9107.705,298.240
40.500,9113.382,298.239
41.000,9116.752,298.239
41.500,9116.695,298.239
42.000,9119.737,298.238
42.500,9121.635,298.238
43.000,9123.699,298.238
43.500,9118.725,298.239
44.000,9121.782,298.238
44.500,9124.003,298.238
45.000,9127.234,298.238
45.500,9125.697,298.238
46.000,9135.694,298.237
46.500,9136.732,298.236
47.000,9132.384,298.237
47.500,9131.975,298.237
48.000,9133.780,298.237
48.500,9131.918,298.237
49.000,9131.189,298.237
49.500,9133.846,298.237
50.000,9131.984,298.237
50.500,9133.675,298.237
51.000,9143.175,298.236
51.500,9147.447,298.235
52.000,9149.402,298.235
52.500,9147.361,298.235
53.000,9145.706,298.235
53.500,9147.885,298.235
54.000,9145.673,298.235
54.500,9156.922,298.234
55.000,9153.901,298.234
55.500,9155.929,298.234
56.000,9157.070,298.234
56.500,9164.396,298.233
57.000,9162.084,298.233
57.500,9163.541,298.233
58.000,9161.487,298.233
58.500,9160.971,298.234
59.000,9165.256,298.233
59.500,9162.485,298.233
60.000,9166.359,298.233
